,Beer Names,Rating,Locations,Reviews,Users,City
4272,Evil Twin NYC / American Solera Brewers Without Borders,4.2,"Queens, New York","Can [email protected], Copenhagen (25/01/2020) -  black with a thin tan head. Dark sweet and roasted malty witn note aof chocolate, caramel, nice coffee roast, bold nutty accents, full body, hazelnut and sweet vanilla coalesce into the dark sweet and roasted malty finish. Lovely stuff.
",Desverger,Queens
4273,Straight To Ale Regal Beagle,3.5,"Huntsville, Alabama",Dark brown  color pour with an off-white head and light lacing. Malty aroma with nuts and molases in the flavor profile. It has a slightly dry finish.,Aggiebob,Huntsville
4274,Evil Twin NYC / Horus Aged Ales Even More Territory,4.1,"Queens, New York","Can [email protected], Copenhagen (25/01/2020) - black with a tan covering. Roasted and light sweet dark malty with notes of chocolate, bold coffee roast, burnt brown sugar, full body, nutty chocolate and coffee laden malty finish.
",Desverger,Queens
4275,Kuehn Kunz Rosen Wolken & Pracht,3.7,"Mainz, Rhineland-Palatinate","Bottle from rhoihessegold - RB Euro 2020-01 swap - Cheers!
Rocky white head left a froth on a hazy amber coloured still body.
Big juicy aroma of Tropical fruits, pineapple & confectionery.
Medium bodied, slight tingle on the front with a soft cloying back.
Peach, mango, pineapple, Tropical fruits & hoppy tastes with a long tangy finish.
Good one!",simontomlinson,Mainz
4276,Evil Twin NYC Sour Pepper Cherry,3.9,"Queens, New York","Can [email protected], Copenhagen (25/01/2020) - dark amber with a off white head. Prominent Dr Pepper with notes of cherry, fruity and light spiced, cola notes, medium body, sweet syrupy notes, cherry accented into the finish. Does what it says on the tin! Fun stuff.
",Desverger,Queens
4277,Guisborough Alchemy,3.1,"Saltburn-by-the-Sea, North Yorkshire","4/2/2020. Cask sample courtesy of danlo, cheers Ed! Pours clear dark golden amber with a bubbly white head. Aroma of fruit, malt, hops, biscuit and slight stewed veg. Moderate sweetness and medium slightly metallic bitterness. Moderate body, slight oily texture, soft carbonation.",Grumbo,Saltburn-by-the-Sea
4278,"Evil Twin NYC Millions of Peaches, Apricots and Almonds. Peaches, Apricots and Almonds for Me",3.9,"Queens, New York","Can [email protected], Copenhagen (25/01/2020) - hazy golden orange with a white head. Tart fruity with prominent peach, notes of apricot chiming in, getting some of the nutty almond undertones coming through, yeasty touch, medium body, tart peachy lingering fruity close.
",Desverger,Queens
4279,Nepenthe Needy Earthling,3.7,"Baltimore, Maryland","On tap at Nepenthe Brewing Co. in Baltimore, MD. 

Opaque brown-black with a thin khaki head and fair lacing.  

Aroma of roast coffee, dark chocolate, walnut, fig and dates. 

Taste of roasted malt, coffee, dark chocolate, fig and raisin. 

Medium body and medium carbonation. 

",MadRobin,Baltimore
4280,Evil Twin I Talk More To The Coffee Cart Guy Than My Mom,3.6,"Queens, New York","Can [email protected], Copenhagen (25/01/2020) - hazed yellow golden pour with a white head. Vibrant juicy fruity with notes of citrus fruit, some grapefruit and lemon, gooseberry, melon, light malty support, medium body, solid hoppy close.",Desverger,Queens
4281,Founders Barrel Aged CBS (Canadian Breakfast Stout),4.6,"Grand Rapids, Michigan","750ml bottle from Windsor Hy-Vee, 2017 release, in a Sam Smith pint glass. Deep, rich, complex aromas of nougat, brown sugar, caramel, toffee, malted milk balls and medium-roast coffee with hints of wood smoke and green herbs. Pours inky black with two fingers of creamy chocolate head that laces gorgeously. Sweet and creamy on the entry with a distinctive maple character, turning malty and a bit fruity on the mid-palate with a long, sweet and roasty well-balanced finish, terminating with a flicker of heat as that 11.7% ABV hits bottom. Much more unique and less roast-focused than the original recipe. Ever so slightly sticky-sweet in the back of the throat. Completely satisfying and easy to drink for such a boozy full-bodied brew. Fantastic. Lives up to all the hype in spite of everything. Who doesn't love that? Founders certainly knows something about brewing beer. Thanks a million. Well done!",saltyseadog,Grand Rapids
4282,Evil Twin Watermelon Spritzer,3.6,"Queens, New York","[email protected], Copenhagen (25/01/2020) - golden pour with a white head. Tart fruity with notes of watermelon prominence, veg and fruity notes, light salty, spritzy and effervescent, medium to light body, salty tart into the close.
",Desverger,Queens
4283,Hoppin' Frog Barrel Aged DORIS The Destroyer,4,"Akron, Ohio","A 22 fl. oz. bomber with no clear bottled on or best before date. Poured into a snifter glass. It was dark brown to black in colour with a very thin brown head that disappeared almost immediately and left only sparse lacing. Aromas of whiskey, roasty, chocolate, with hints of oak, molasses and vanilla. Tastes of sweet bourbon whiskey, roasty, chocolate, molasses, and oak, with notes of vanilla and caramel and maybe even some char. Medium to full bodied with soft carbonation. Overall, although perhaps a little sweet for me, the roast and chocolate did mostly balance it out for me, and it was still an enjoyable sipper.",davidezdonz,Akron
4284,Partake Pale Ale,2,"Toronto, Ontario","355 ml can from Total Wine and More in Short Pump, Va  They need to keep the non-alcoholic beers in one area.  The ale poured a clear amber color with a white head and no lacing.  Awkward taste, with a malty aroma and grainy taste.",Foxbush,Toronto
4285,Napton Cidery Blackcurrant Blush,3.4,"Napton on the Hill, Warwickshire","4/2/2020. Bottle sample courtesy of danlo, cheers Ed! Pours clear dark red / maroon with a small bubbly head. Aroma of mild blackcurrant, summer berries, light apple. Medium sweetness, minimal tartness. Moderate body, slight clammy texture, soft carbonation. Above average for this style of cider.",Grumbo,Napton on the Hill
4286,Boulevard Berry Noir,4.6,"Kansas City, Missouri",Found at El Tap in San Juan. Burgundy in color. Lots of cherry flavor. Intense sour.,riggsfc61,Kansas City
4287,Northern Monk Patrons Project 25.01 Everyday Abstract ,3.7,"Leeds, West Yorkshire","[email protected], Copenhagen (25/01/2020) - hazed golden pour with a white head. Fruity and malty, notes of pine needles, mango, orange, grass, soft sweet malty backing, light resinous bitter hoppy finish.
",Desverger,Leeds
4288,Northern Monk Jackson,3.8,"Leeds, West Yorkshire","[email protected], Copenhagen (25/01/2020) (as ""The Old Flax Store - Jack"" appears to be same beer/style/abv) - pours golden orange with a white head. Juicy fruity with notes of grapefruit and peach, tangerine, soft malty backing, medium body, solid hoppy close. Tasty.
",Desverger,Leeds
4289,Other Half / Industrial Arts Nummy Nug Nug,3.8,"Brooklyn, New York","Pours a hazy, golden yellow, with mid-sized head. Aroma has some astringency, along with notes of tropical fruit and citrus. Flavor is citrus and tropical fruit, with some hop bitterness in the finish. Smooth and slightly sweet. Good stuff, this.",bookman10,Brooklyn
4290,Odd Side Ales Sweet Potato Soufflé Rye Whiskey Barrel Aged Ale,4,"Grand Haven, Michigan","Piana obfita i trwała. Barwa miedziana, zamglona. W aromacie gałka i cynamon przeplatają się z wanilią, koksem i melasą. W smaku słodkie, syropowe, przyprawowe, karmelowe, miodowe, wanilinowe, z rozgrzewającym finiszem. Goryczka nieduża, ziemisty finisz, gęste, ciężkie, nisko wysycone.

Taki trochę piwny kisiel z tego wyszedł, całkiem fajny jako deser...",alteregoo,Grand Haven
4291,Jolly Pumpkin / Jester King Citrus Commander,3.4,"Dexter, Michigan","[email protected], Copenhagen (23/01/2020) - hazy amber orange with a white head. Tart fruity with notes of citrus fruit, some lemon and orange notes, grapefruit, light to medium busy, tart lingering fruity close.
",Desverger,Dexter
4292,Au Frontibus Dubbel aux Framboises,4.1,"Gaspé, Quebec","Acheté au IGA Benoit. La bière est rouge, littéralement. Elle produit une fine mousse blanche peux persistante. Au nez, la framboise domine largement. Au goût, on retrouve évidemment la framboise mais pas de façon sûre, plutôt de façon sucré. Sinon on retrouve également un goût un peu fumé. C’est très bon !! Facile d’approche et en même temps tellement savoureuse. Santé !",MingLeSage,Gaspé
4293,Starvecrow Natural Cyder Bourbon,3,"Peasmarsh, East Sussex","4/2/2020. Bottle sample courtesy of danlo, cheers Ed! Pours cloudy yellow gold with a small bubbly white head. Aroma of bourbon, semi-sweet apples, wood, citrus. Light sweetness and medium sour. Moderate body, slight oily texture, average carbonation. Dry, light tart, woody bourbon finish. Not particularly keen on the bourbon in this one.",Grumbo,Peasmarsh
4294,Marston's No:2 Horninglow Imperial Stout,3.8,"Burton-on-Trent, Staffordshire","Bottle at home in Hackney - picked up at Waitrose Canary Wharf. Pours clear, rich brown with a foamy, khaki head. Pleasant relaxed chocolate malts, soft roast, brown bread, very mellow earthy bitterness, nips of ripening berries. Light to medium bodied with fine carbonation. Pretty well balanced in the finish, more cocoa, mild roast, restrained bitterness, a whisper of coffee, only a suggestion of alcohol. It goes down very easily, it must be said. No issues here.",Leighton,Burton-on-Trent
4295,Crooked Stave Petite Sour (Raspberry),4.2,"Denver, Colorado",Clear red fruit juice color pour with a thin pink head. Sour taste with an intense raspberry flavor profile. Very nice sour.,Aggiebob,Denver
4296,Gaffel Kölsch,3.2,"Cologne, North Rhine-Westphalia",De Labirratorium. En copa Teku. Programando GestorRed. Como una lager industrial bien hecha pero sin nada especialmente memorable. Pasa desapercibida,josanguapo,Cologne
4297,Kemker Stadt Land Bier,3.3,"Alverskirchen/Everswinkel, North Rhine-Westphalia","[email protected], Copenhagen (23/01/2020) - golden pour with a white head. Light tart fruity with notes of grapefruit and lemon, wheaty and floral and hoppy accents in play, minerals, light to medium body, fruity light hoppy finish.
",Desverger,Alverskirchen/Everswinkel
4298,Streetside Electric Avenue,3.9,"Cincinnati, Ohio","On draught at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Cloudy bright reddish burnt sienna color with a medium thin frothy off-white head that diminishes gradually to a film. Short strings of lace. Aroma of tropical fruits, wheat and malt. Light-bodied with flavors of pineapple, wheat, passionfruit and biscuit malt. The finish is a fruit juice cocktail. Pretty good overall.",Dogbrick,Cincinnati
4299,Arcobräu Weissbier Dunkel,3.4,"Moos, Bavaria","[email protected], Copenhagen (23/01/2020) - brown with a off white head. Dark toasted and sweet malty with notes of caramel and toffee, some dark dried fruit, wheaty and yeasty, medium body, hoppy wheaty lingering close.
",Desverger,Moos
4300,Wild Weather Spruce Almighty,3.4,"Aldermaston Stoke, Berkshire","[email protected], Copenhagen (23/01/2020) - hazed golden amber with a white head. Fruity and malty with lots of prominent herbal foliage, notes of spruce, pine, floral and herbal accents against a sweet malty backbone, more spruce and herbal floral piney notes into the close.
",Desverger,Aldermaston Stoke
4301,FrauGruber Hybrid Moments,4,"Gundelfingen , Bavaria","Very hazy orange colour with medium white head, aroma very citrusy, orange, orange peel, fresh, intensive. Taste rather bitter, slightly sour, low to medium sweet, lot of orange, orange peel, intensive citrus taste. Very very good",kamanova_boy,Gundelfingen 
4302,Wild Weather End of Level Boss,3.4,"Aldermaston Stoke, Berkshire","[email protected], Copenhagen (23/01/2020) - hazed golden amber with a white head. Pretty sweet fruity with notes of lemon and grapefruit, straw, hay, grassy bitterness, medium body, sweet malty backbone, hoppy resinous bitter close.
",Desverger,Aldermaston Stoke
4303,Anarchy / Bad Seed Du Hast Hopf,3.2,"Newcastle upon Tyne , Tyne & Wear","[email protected], Copenhagen (23/01/2020) - orange with a white head. Sweet fruity and wheaty, with notes of banana, some light malty and wheaty notes, medium body, accents of spices into the sweet lingering finish.
",Desverger,Newcastle upon Tyne 
4304,Artistraw Cider Kilverts Choice,3.4,"Hereford, Herefordshire","4/2/2020. Bottle sample courtesy of danlo, cheers Ed! Pours cloudy amber orange with a small bubbly white head. Aroma is funky, barnyard, cinnamon apple strudel, light biscuit and pithy citrus. Medium sweetness and slight tartness. Medium body, slight oily texture, average carbonatin.",Grumbo,Hereford
4305,Thornbridge Satzuma,3.2,"Bakewell, Derbyshire","[email protected], Copenhagen (23/01/2020) - golden orange with a white head. Sweet fruity with notes of satsuma with some grapefruit and peach, zesty fruity, light body, tangy fruity hoppy finish. So so.
",Desverger,Bakewell
4306,Left Hand Wheels Gose ‘Round,3.9,"Longmont, Colorado","Pours a cloudy, ruby red coloration with a medium, frothy head. Smells of tart rasperry and zesty lime, with a distinct acidity. Taste is a great balance of slightly sweet and quite tart raspberry and rather zesty lime, with a good lactic acidity and light salinity. Finishes with a medium tartness and some raspberry and lime lingering in the aftertaste. Smooth mouthfeel with a light/medium body and mesium carbonation.

A rather nice Gose that is recognizable as the style despite being flavored, with a good lactic acidity, subtle saltiness and very little sweetness coming through. The raspberry and lime work together rather well, forming a very enjoyable flavor profile. Very crisp and refreshing, makes for a great summer beer.",snowcrash000,Longmont
4307,Odyssey The Chronic 2019,3.1,"Whitbourne, Herefordshire","Delt med Rune på rom 410 Premier Inn Waterloo, Birmingham. Gusjegrågul. Høyt luftig skum som daler sakte. God appelsinaroma. Smaken fersken & plommer. Grei - men uvariert.",Finn,Whitbourne
4308,"Weird Beard Little Things That Kill (Willamette, Columbus, Bravo, Ella)",4,"Ealing, Greater London","4th February 2020Almost clear bright gold beer, small pale cream colour head. Palate is light and semi dry and has a good fine minerally biting crispness. Light lager malts, clean and with a pleasing mild sweetness. Crisp pine and crisp orange hops, touches of tangerine and grapefruit. Trace of citric peel. Crisp bright finish. Sometimes a later is the only beer that will do and this is a bloody good one.",madmitch76,Ealing
4309,Northern Monk Patrons Project 18.03 North Sea Sessions,3.5,"Leeds, West Yorkshire","Can, 5%. Unclear yellow with small white head. Aroma is malt, fruit, hops, citrus, little tropical fruit and a little grapefruit. Flavour is malt, fruit, hops, citrus, little sweet, little grapefruit and a little bitter.",chrisv10,Leeds
4310,Streetside Let Them Drink Cake!,3.8,"Cincinnati, Ohio","Can at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Hazy straw-gold color with a medium frothy white head that diminishes gradually to a film. Sticky strings of lace. Aroma of citrus, herbal hops, vanilla and malt. Medium body with flavors of pithy citrus, resiny hops, creamy vanilla and malt. The finish is mildly bitter hops up front with a vanilla aftertaste. Pretty good all around.",Dogbrick,Cincinnati
4311,Streetside Warhead,3.9,"Cincinnati, Ohio","Sample at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Crystal clear pale orange color with a thin white head that dissipates quickly to a sparse outer ring. Spotty lace. Aroma of oak, tart fruit, yeast and malt. Light to medium body with flavors of gin, tart citrus, vinous oak and juniper. The finish is oaky and very tart with a lingering red wine and sour fruit aftertaste. Pretty good all around.",Dogbrick,Cincinnati
4312,Wylam I Blame The Daylight,3.5,"Newcastle upon Tyne , Tyne & Wear","[email protected] Copenhagen (23/01/2020) - hazed yellow with a white head. Tropical fruity medley going on, some lemon, grapefruit, some pineapple, soft sweet malts, medium to light body, hoppy finish.
",Desverger,Newcastle upon Tyne 
4313,Logsdon G4,3.6,"Hood River, Oregon","[email protected] Copenhagen (23/01/2020) - hazy golden orange with a white head. Light tart fruity with notes of peach, grapefruit. some stone fruit, light malty, yeasty note, tart fruity finish.",Desverger,Hood River
4314,Wylam / Naparbier Empathy For the Devil,3.8,"Newcastle upon Tyne , Tyne & Wear","[email protected] Copenhagen (23/01/2020) - golden hazed pour with a white head. Juicy fruity with a plethora of tropical fruit offered, waves of papaya, mango and grapefruit, pine needles, soft malty backing, medium body, touch of citrus rind bitterness into the hoppy close. Great stuff.",Desverger,Newcastle upon Tyne 
4315,Streetside Cloud Maker,3.9,"Cincinnati, Ohio","Sample at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Slightly hazy amber-orange color with a medium thin white head that recedes steadily to an outer ring. Stringy lace. Fruity and oaky aroma with wine and malt notes. Medium body with an oaky white wine character and notes of funky yeast, tart citrus and bready malt. The finish is oaky and tart with a wine grape aftertaste. Pretty good all around.",Dogbrick,Cincinnati
4316,Wander Beyond Curious Creek,3.5,"Manchester, Greater Manchester","440ml can. Cloudy, bright, light red colour with average to huge, diminishing, minimally pink-ish, off-white head. Sweet-ish, fruity, raspberry dominated aroma, some cherry, some fruit acid, slight sherbet character overall. Taste is mildly tart, minimally sweet fruity, slightly lactic, diluted hints of cherry and raspberry with a minimally leafy touch, cautious hints of mild sauerkraut. Well balanced, refreshing, nice.",Idiosynkrasie,Manchester
4317,Ardent Altbier,3.2,"Richmond, Virginia","Honey pecan nose. Clear amber, medium head. Pecan. Medoum body, moderate carbonation.",obguthr,Richmond
4318,Wilding Cider Stoke Red 2018,3.6,"Bristol, Gloucestershire","4/2/2020. Bottle sample courtesy of danlo, cheers Ed! Pours hazy golden orange with a small bubbly white head. Aroma of funky apples, light brown sugar, caramel and a hint of spice. Moderate sweetness and light to moderate tartness. Moderate body, slight oily texture, above average carbonation. Dry, tangy tart finish. Nice.",Grumbo,Bristol
4319,Streetside High Tea,4,"Cincinnati, Ohio","Sample at the taproom during the ""Streetside 3 Year Anniversary Bash!"" on 09/28/2019. Slightly hazy reddish-orange color with a medium thin white head that dissipates quickly to a wispy film. Short strings of lace. Aroma of herbal yeast, fruit, tea and malt. Medium body with flavors of mildly funky yeast, sweet-tart melon, green tea, vinous oak and doughy malt. The finish is oaky, funky and tart with a fruity yeast aftertaste. Good beer all around.",Dogbrick,Cincinnati
4320,Northern Monk Strannik Imperial Stout,3.6,"Leeds, West Yorkshire","Bottle from Beermoth, Manchester.  Extremely dark and certainly strong tasting, this slow sipper does have a velvet smoothness to its roasted malts that's very pleasant once you get used to the alcohol content in this one.  Sat in my cellar for over 6 years but absolutely fine when opened.",ManVsBeer,Leeds
4321,Titanic Stout,2.9,"Stoke-on-Trent, Staffordshire","Watery, not much flavour, but nice bitterness and nice after taste. Nice dark brown colour, wait actually quite red.",pricey123,Stoke-on-Trent
4322,Town L'il Sebastian,3.6,"Whitby, Ontario","Very decent and notably smooth double IPA, avoiding much of the hop burn. On tap at the source.",Sammy,Whitby
4323,Wylam / Donzoko The Cold Condition,3.1,"Newcastle upon Tyne , Tyne & Wear","can. pale golden. pale lagery malty nose, light green herby citrus. med light bodied, good bitters, citrussy slight zingy finish. a clean crisp thing. lawnmover-like beer.",jookos,Newcastle upon Tyne 
4324,"Town Fruit Dart - Blackberry, Lemon & Vanilla",3.3,"Whitby, Ontario","Lightly tart, quaffable stuff and smooth outside of its base.  Good fruit overall.",Sammy,Whitby
4325,North Brewing Co Big House Waltz,4.1,"Leeds, West Yorkshire","Can sourced from Kihoskh - totally opaque orange colour with a medium creamy white head. Bold intense juicy fruity with some papaya and mango, lychee, substantial mouthfeel and medium plus body, pine needles and light bitter tingling hop spice, robust dank hoppy close. Gorgeous stuff.",Desverger,Leeds
4326,Town Finer Things,3.6,"Whitby, Ontario","Labelled as an IPA and hoppy, without hop burn.  Understated, today's American pale really.  Good and smooth.",Sammy,Whitby
4327,North Brewing Co The Leafcutter DDH IPA,4,"Leeds, West Yorkshire","Can sourced from Kihoskh - hazy golden yellow with a white head. Juicy fruity with some tasty notes of mango, pineapple, grapefruit, smooth creamy substantial mouthfeel and medium body, light rindy citrus bitterness into the lingering hoppy finish. Beautiful.",Desverger,Leeds
4328,Town Keller Instinct,3.4,"Whitby, Ontario","Malt job, hits the style but would like a touch of spice to make it interesting.  At the source.",Sammy,Whitby
4329,Town Ruby's Arms,2.8,"Whitby, Ontario","Very roasty and watered down stout, on tap at the source.  Not so quaffable.",Sammy,Whitby
4330,Brew By Numbers 42/06 DDH Pale Ale - Number Six,4,"Bermondsey, Greater London","Can at home in Hackney - picked up from the Bermondsey taproom. Pours lightly hazy gold with a modest, foamy white head. Great stuff overall, definitely one of the better BBNo hoppy beers I have had recently. Has light sweetness, pleasant pithy citrus, only a whisper of minerality, some melon, tangerine, mild rindy bitterness, background pale malts. Light to medium bodied with fine carbonation. Nicely balanced finish, with a hint of cat pee, tropical accents, more pithy citrus. Really sound.",Leighton,Bermondsey
4331,Night Shift Sorry Tomorrow,3.4,"Everett, Massachusetts","Draft at Lovejoy Wharf. Pours hazy red/brown with a fizzy beige head. Tastes like butter toffee, raisin, molasses, and earthy malt. Medium body and low carbonation. Smells like raisin, earthy malt, toffee, and molasses.",snoworsummer,Everett
4332,Anchor Brewers' Pale Ale - Galaxy Hop Blend,3,"San Francisco, California","34.5cl fles. Troebel heel van kleur, fijne romige witte schuimkraag. De geur is muf en citrus. Smaak is zoet, mout, citrus en licht perzik. Medium body en veel koolzuur.",maupie,San Francisco
4333,Night Shift Hidden Gem,3.4,"Everett, Massachusetts","Draft at Lovejoy Wharf. Pours hazy gold with a frothy white head. Tastes like resin, leather, pine hops, grassy malt, and grapefruit. Light/medium body and low carbonation. Smells like resin, leather, pine hops, grassy malt, and grapefruit.",snoworsummer,Everett
4334,Night Shift Sombra,3.4,"Everett, Massachusetts","Draft at Lovejoy Wharf. Pours cola  brown with a creamy beige head. Tastes like raisin cinnamon, and earthy malt. Light body and low carbonation. Smells like earth, cinnamon, and raisin.",snoworsummer,Everett
4335,Asda West Coast Pale Ale,3.5,"Leeds, West Yorkshire","Can from Tesco. A slightly hazy orange, with a thin head. A nice mix of fruit with a touch of spice. Not one for quaffing at 5.6%, but it's alright, good for the price.",scotty,Leeds
4336,Samuel Smiths Imperial Stout,4,"Tadcaster, North Yorkshire","black beer with a decent brown head. Roasted Malt, coffee, caramel, raisins and liquorice. Not too heavy in Alcohol and nicely balanced.",rja,Tadcaster
4337,Brew By Numbers 21/05 Pale Ale - Citra,3.6,"Bermondsey, Greater London","Canned, 440 ml shared with Simon, Max and Miro B. Hazy yellow, medium white head. Fruity, dank, some tropical fruit, citrus, smooth. Medium bodied.",Iznogud,Bermondsey
4338,North Brewing Co Ute West Yorkshire IPA,3.9,"Leeds, West Yorkshire","27/IX/19 - on tap @ Borefts Day 1, BB: n/a - (2019-1560) Thanks to the international RateBeer Crew for sharing today's beers!

Little cloudy blond to beige beer, creamy white head, little stable, somewhat adhesive. Aroma: super fruity, lots of tropical fruits, oranges, very nice! MF: ok carbon, medium body. Taste: bitter, malty, grains, hay, tropical fruits, citrus, grapefruit, nice bitterness. Aftertaste: very bitter, grapefruit, lovely!",tderoeck,Leeds
4339,Flying Dog Snake Dog IPA (2008-),4.2,"Frederick, Maryland","Orange hazy with a two centimetre thick head.
Smell of mango, passion fruit and grapefruit with a grainy note. Full bodied IPA with a pleasant bitterness and dominant fruit notes, with a little gingerbread something.
A very tasty and drinkable IPA.",ophone,Frederick
4340,Hubertus Märzen,4.4,"Laa an der Thaya, Austria","very clear, light-yellow colour
white foam that dissolves quickly and leaves little residue
smells of hay, flowers—rose?
tastes surprisingly like blossom honey—sweet, malty, floral notes
oily mouthfeel, no distinct carbonation, lingers relatively shortly
great beer if you’ve got a sweet tooth",guinnessdaniel,Laa an der Thaya
4341,Block House Cinnamon Apple,1.4,"Pittsburgh                      , Pennsylvania","Got this scary can from JRs. Was not looking forward to this tick. After all, it says it has some artificial flavors in it. Pours clear pale from a pounder can.  Smell is somewhat artificial apple, like hardtack candy. Taste is as expected, somewhat rude ass artificial apple candy with a vanilla backbone. Cannot get this. It also has a warming sensation as it goes down the gullet. Can't say I'm disjointed because I didn't expect much. I had high hopes for the Blockhouse brand but I'm afraid they are just turning into another alky laced soda pop brand. This stuff is more on the line of those kindah malt beverages, has little to do with beer, thanks. I'm going to mix the rest of this with a can of IC light to try to straighten it out a bit and make it more acceptable. Whew.",cheap,Pittsburgh                      
4342,Birthday Beer,3.4,"Everett, Massachusetts","Draft at Lovejoy Wharf. Pours hazy gold with a fizzy white head. Tastes like guava, pear, booze, resin, and pineapple. Light/medium body and low carbonation. Smells like booze, resin, pineapple, and pear.",snoworsummer,Everett
4343,Brew By Numbers 55 Double IPA - Mosaic Citra,4.1,"Bermondsey, Greater London","Canned, 440 ml, shared with Simon, Max and Miro B. Hazy yellow, white head. Tropical fruit, bit dank, quite dry, smooth. Medium bodied.",Iznogud,Bermondsey
4344,Wild Weather / New Lion War Against Reality,3.5,"Aldermaston Stoke, Berkshire","Rocky white head stayed on a murky dark amber coloured still body.
Pineapple, Tropical fruits, mango & confectionery aroma.
Medium bodied, pleasantly carbonated on the front with soft smooth back.
Tropical fruits, mango, kiwi, hoppy, garlic & nectarine tastes.",simontomlinson,Aldermaston Stoke
4345,The Kernel Foeder Beer Nelson Sauvin,4.4,"Bermondsey, Greater London","Bottle at home in Hackney - picked up at the brewery. Pours mostly clear gold with a frothy, pure white head. Incredible beer, with a gorgeous mix of pissy southern hemisphere hop and farmyard funk. Lightly sweet, only a little bitterness, perhaps a touch of pine and lemon rind. Light bodied with delicate, massaging carbonation. Balanced finish with a hint of acidity, further cat pee, dry brett funk, melon, mild citrus. Exceptional.",Leighton,Bermondsey
4346,Night Shift Other Acre,3.5,"Everett, Massachusetts","Draft at Lovejoy Wharf. Tastes like light funk, citrus, hay and dry peach. Light body and low/medium carbonation. Smells like funk, hay, peach, and leather.",snoworsummer,Everett
4347,North Coast Old Rasputin Russian Imperial Stout,3.8,"Fort Bragg, California","Almost black with low head. Aroma with coffee and chocolate. Some dried fruit in the taste, together with chocolate. Stored several years in the cellar and still fresh taste.",7stern,Fort Bragg
4348,Central Waters Brewer's Reserve Belgian Style Quadruple Ale,3.9,"Amherst, Wisconsin","Proefglas van 35,5cl-fles. U; Troebel amber-bruin met een rode gloed e neen dunne cremekleurige schuimkraag. G: Bourbon, hout, ietwat vanille, gedroogd fruit en kandijsuiker. S: Zoet. Karamel, gedroogd fruit, beetje vanille en bourbon. Alcoholwarmte. M: Volmondig met een lichte carbonatie.",nutjes,Amherst
4349,Bearded Iris Wavelength,3.8,"Nashville, Tennessee","Proefglas van 47,3cl-blik. U: Modderig blond met een witte schuimkraag. G: ""Dank"", ananas, citrus, ""zweterig"" en wat hars. S: Zoet met wat hopbitterheid. Fruit punch met o.a. ananas en lychee, citrus, ""dank"", den en een hint van zeep. Droge afdronk. M: Smooth met medium carbonatie.",nutjes,Nashville
4350,Night Shift It's Brettney Batch,3.5,"Everett, Massachusetts","Draft at Lovejoy Wharf. Pours clear gold with a creamy white head. Tastes like chardonnay, smooth lemon, grassy malt, white grape, and funk. Light body and low carbonation. Smells like chardonnay, grassy malt, white grape, yeast, and funk.",snoworsummer,Everett
4351,Night Shift  / Vanished Valley Cobbled Together,3.4,"Everett, Massachusetts","Draft at Lovejoy Wharf. Tastes like peach, tart citrus, cracker malt, and vanilla. Light body and low carbonation. Smells like peach, citrus, cracker malt, and vanilla.",snoworsummer,Everett
4352,Tampa Bay Old Elephant Foot IPA,3.6,"Tampa, Florida",Brukar ju inte betygsätta Ipa på ratebeer men denna lite speciell . Ok nu kommer omdömet . Läs nu . Fat på Kapitelhuset Växjö. Doftar cederträ och ek samt nybakat bröd från Bröd och Sovel . Skakar maltigt och blommigt som fan. Udda smakrik Ipa . Blommig parfymig och tydlig efterbeska . Spännande Ipa,Patrik,Tampa
4353,Sierra Nevada 40 Hoppy Anniversary Ale,3.8,"Chico, California","Old school Sierra bitter hip juice. On tap at p house. Hazy orange golden with small to medium head. Nice lace. Grapefruit, pine, and orange rind. Nice",PhillyCraft,Chico
4354,Evil Twin Molotov Lite,3.5,"Queens, New York","Can. Nice head with good duration. Color is golden. Aroma and taste are nice bitter hops, fruits, flowers, malt and has a nice long bitter finish.",saxo,Queens
4355,Aslin Nose Beers,4.1,"Herndon, Virginia","Barwa pomarańczowa, piwo mętne, piana biała, zbita, zdobiąca szkło.
Aromat średnio-intensywny, cytrusowy, w tyle słodkie pomarańcze.
W smaku mega soczyste, gładkie, lekko słodkie. Dużo pomarańczy - słodki sok, gorzka skórka pomarańczy. Goryczka srednio-wysoka, grejpfrutowa, lekko pylasta. Alkohol niewyczuwalny.",heman,Herndon
4356,Camba Bavaria Black Shark,3.4,"Seeon, Bavaria","Farbe: schwarz. Pechschwarz. OK, im Strahl dunkelbraun.
Schaum: dicht beständig, hellbraun 
Nase: säuerlich, nicht viel. Möh. Bisschen Cola. Bei leererem Glas kommt auch karamrll, Asche und Holz raus.
Geschmack: relativ sauer, feinsprudlig, dann ordentlich bitter, dann aber auch rund, hat wohl ordentlich Malz und Hopfen drin.abgang dann gerösteter Malz, im Nachgeschmack kommt die säuerliche Asche dazu. Äh das meinen die auf der Flasche mit Kaffee und Bitterschokolade. Komplex aber nicht ganz meins.",Schlumpfhunter,Seeon
